ukprn,kiscourseid,programme,crseurl
10007774,VR5M,Philosophy and Beginners' Portuguese,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VR57,Philosophy and Czech (with Slovak),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VR51,Philosophy and French,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VR52,Philosophy and German,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VR53,Philosophy and Italian,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VQ51,Philosophy and Linguistics,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/psychology-philosophy-and-linguistics
10007774,VQ57,Philosophy and Modern Greek,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VR55,Philosophy and Portuguese,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VRM7,Philosophy and Russian,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VR54,Philosophy and Spanish,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-modern-languages
10007774,VV56,Philosophy and Theology,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-and-theology
10007774,L0V0,"Philosophy, Politics and Economics",http://www.ox.ac.uk/admissions/undergraduate/courses-listing/philosophy-politics-and-economics
10007774,F303,Physics (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/physics
10007774,VF53,Physics and Philosophy (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/physics-and-philosophy
10007774,RT56,Portuguese and Arabic,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R501,Portuguese and Beginners German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR75,Portuguese and Beginners' Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR5X,Portuguese and Beginners' Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR57,Portuguese and Beginners' Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR5R,Portuguese and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ54,Portuguese and Hebrew,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ51,Portuguese and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RQ57,Portuguese and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RTM6,Portuguese and Persian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RRM7,Portuguese and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT5P,Portuguese and Turkish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,CQ81,Psychology and Linguistics,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/psychology-philosophy-and-linguistics
10007774,CV85,Psychology and Philosophy,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/psychology-philosophy-and-linguistics
10007774,VT69,Religion and Asian and Middle Eastern studies,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/religion-and-asian-and-middle-eastern-studies
10007774,R711,Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT76,Russian and Arabic,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R712,Russian and Beginners German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R793,Russian and Beginners' Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR79,Russian and Beginners' Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R790,Russian and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ74,Russian and Hebrew,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ71,Russian and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RQ77,Russian and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT7P,Russian and Persian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RTR6,Russian and Turkish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R791,Russian with Polish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,Q450,Sanskrit,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/asian-and-middle-eastern-studies
10007774,R400,Spanish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT46,Spanish and Arabic,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R401,Spanish and Beginners German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR4S,Spanish and Beginners' Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR49,Spanish and Beginners' Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR4M,Spanish and Beginners' Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR47,Spanish and Beginners' Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
